idn,idm
1,1289
2,722
3,747
4,268
5,1441
6,598
7,1278
8,1550
9,743
10,646
11,1151
12,850
13,1273
14,1990
15,1825
16,1723
17,1955
18,1615
19,641
20,1674
21,183
22,120
23,1743
24,97
25,815
26,794
27,185
28,1477
29,768
30,274
31,1280
32,1481
33,22
34,1876
35,188
36,1539
37,1235
38,648
39,1277
40,1178
41,671
42,851
43,1194
44,1474
45,618
46,310
47,1612
48,1815
49,1283
50,455
51,1674
52,968
53,812
54,1016
55,1433
56,714
57,1052
58,642
59,892
60,1685
61,290
62,1533
63,186
64,1515
65,798
66,1036
67,722
68,1988
69,883
70,1895
71,1109
72,1564
73,505
74,139
75,1768
76,1526
77,1884
78,1069
79,510
80,1610
81,781
82,117
83,1762
84,1193
85,1347
86,172
87,796
88,1036
89,838
90,1841
91,1068
92,573
93,266
94,1213
95,377
96,1226
97,724
98,689
99,581
100,1246
101,1361
102,1799
103,692
104,1235
105,561
106,1659
107,896
108,589
109,1788
110,259
111,337
112,1162
113,197
114,803
115,1514
116,627
117,1795
118,1246
119,33
120,1209
121,529
122,697
123,568
124,629
125,1632
126,854
127,1078
128,831
129,793
130,1120
131,92
132,999
133,1882
134,444
135,1327
136,308
137,1976
138,1679
139,1426
140,1439
141,1176
142,1595
143,602
144,58
145,151
146,1755
147,1995
148,17
149,560
150,1432
151,667
152,1059
153,1156
154,268
155,1227
156,1558
157,246
158,1616
159,702
160,667
161,1356
162,1953
163,1165
164,714
165,801
166,1241
167,1543
168,1479
169,282
170,977
171,1898
172,1652
173,421
174,1962
175,1872
176,1186
177,444
178,670
179,1072
180,1035
181,954
182,1554
183,1762
184,887
185,1520
186,369
187,30
188,1756
189,1584
190,175
191,1908
192,1483
193,1569
194,1685
195,1972
196,403
197,34
198,1851
199,155
200,1752
201,1595
202,352
203,1717
204,391
205,1595
206,1324
207,1899
208,127
209,543
210,1100
211,526
212,393
213,901
214,890
215,1499
216,1377
217,570
218,1181
219,1849
220,1123
221,1579
222,1520
223,1289
224,771
225,1572
226,98
227,1219
228,1343
229,1877
230,1967
231,716
232,609
233,545
234,200
235,528
236,613
237,916
238,1501
239,1196
240,1304
241,150
242,20
243,426
244,1629
245,524
246,1742
247,1368
248,726
249,257
250,497
251,1979
252,441
253,389
254,713
255,1429
256,1093
257,1557
258,1001
259,1014
260,1231
261,710
262,947
263,1636
264,1489
265,1921
266,1350
267,532
268,1653
269,579
270,1615
271,1370
272,794
273,1950
274,1026
275,1175
276,776
277,446
278,296
279,1264
280,1614
281,477
282,1567
283,1191
284,652
285,107
286,958
287,1432
288,633
289,967
290,1427
291,935
292,1944
293,1746
294,700
295,386
296,587
297,1938
298,1167
299,681
300,224
301,263
302,203
303,1822
304,585
305,1753
306,393
307,1572
308,1139
309,1964
310,354
311,859
312,1338
313,1641
314,1247
315,617
316,712
317,1426
318,851
319,1708
320,3
321,1007
322,816
323,1253
324,918
325,1529
326,380
327,184
328,871
329,610
330,1054
331,223
332,40
333,700
334,171
335,135
336,1642
337,1667
338,499
339,1240
340,1995
341,1742
342,1519
343,343
344,215
345,1005
346,1052
347,1988
348,1568
349,1760
350,1428
351,127
352,1561
353,652
354,1706
355,1019
356,469
357,116
358,1206
359,955
360,614
361,187
362,1893
363,1068
364,1083
365,1643
366,1097
367,380
368,731
369,975
370,653
371,1366
372,211
373,661
374,1961
375,805
376,908
377,1579
378,221
379,852
380,1773
381,438
382,1156
383,1587
384,894
385,397
386,467
387,7
388,414
389,575
390,772
391,877
392,685
393,293
394,1193
395,649
396,1184
397,258
398,1742
399,1553
400,1564
401,438
402,44
403,1545
404,1285
405,1613
406,311
407,1034
408,425
409,1637
410,1235
411,1093
412,1803
413,93
414,355
415,1011
416,1066
417,56
418,300
419,309
420,1101
421,1863
422,1125
423,719
424,553
425,1533
426,10
427,909
428,953
429,293
430,296
431,816
432,1817
433,1160
434,1238
435,857
436,137
437,1266
438,1863
439,1155
440,891
441,1857
442,72
443,1653
444,1738
445,1202
446,1346
447,356
448,23
449,1416
450,1572
451,208
452,25
453,1642
454,1483
455,617
456,232
457,715
458,506
459,583
460,1984
461,315
462,70
463,1885
464,328
465,929
466,462
467,1882
468,1165
469,804
470,1323
471,1586
472,1495
473,638
474,1605
475,669
476,1544
477,1477
478,1142
479,1787
480,162
481,1683
482,1530
483,1293
484,764
485,565
486,1172
487,323
488,1699
489,999
490,46
491,1805
492,299
493,646
494,1824
495,1391
496,423
497,453
498,1809
499,1313
500,438
501,1234
502,1607
503,1021
504,671
505,1367
506,1561
507,222
508,832
509,1186
510,1814
511,1224
512,1064
513,1557
514,884
515,1047
516,362
517,1131
518,1412
519,1381
520,1877
521,1958
522,1636
523,866
524,1215
525,469
526,1954
527,652
528,1802
529,1266
530,805
531,120
532,180
533,714
534,344
535,1913
536,1349
537,26
538,1767
539,266
540,1303
541,1253
542,1692
543,1883
544,971
545,141
546,1454
547,1927
548,1530
549,283
550,1063
551,1868
552,80
553,974
554,196
555,625
556,1662
557,729
558,948
559,31
560,97
561,1676
562,861
563,1925
564,1340
565,236
566,1751
567,1768
568,84
569,1502
570,809
571,1492
572,1998
573,289
574,315
575,375
576,71
577,1791
578,1084
579,443
580,1869
581,1342
582,802
583,159
584,477
585,65
586,795
587,1738
588,1632
589,1597
590,242
591,1963
592,1063
593,1142
594,1886
595,977
596,1287
597,1633
598,417
599,1176
600,602
601,167
602,1484
603,67
604,898
605,1395
606,1907
607,406
608,446
609,425
610,847
611,498
612,1134
613,1234
614,894
615,144
616,1805
617,1506
618,778
619,1414
620,282
621,1173
622,500
623,1067
624,1747
625,1133
626,930
627,622
628,763
629,156
630,90
631,1553
632,158
633,386
634,350
635,896
636,256
637,1506
638,1157
639,1961
640,212
641,629
642,392
643,796
644,1277
645,475
646,914
647,1922
648,720
649,217
650,1232
651,745
652,701
653,1216
654,1713
655,1936
656,630
657,1150
658,1487
659,238
660,1690
661,1618
662,1590
663,1247
664,156
665,1731
666,426
667,119
668,281
669,682
670,1351
671,1990
672,406
673,1859
674,989
675,195
676,1829
677,495
678,1309
679,1428
680,1000
681,692
682,874
683,892
684,1993
685,1597
686,589
687,1633
688,1825
689,1755
690,1415
691,1151
692,1682
693,56
694,658
695,685
696,585
697,1789
698,428
699,1335
700,791
701,871
702,135
703,1406
704,736
705,1184
706,1274
707,1432
708,243
709,655
710,509
711,1740
712,1021
713,294
714,1053
715,1786
716,1731
717,1459
718,464
719,330
720,841
721,1858
722,386
723,901
724,1332
725,178
726,1078
727,1570
728,1518
729,107
730,1012
731,501
732,1116
733,477
734,1840
735,412
736,433
737,1881
738,1725
739,1112
740,1811
741,722
742,511
743,413
744,393
745,992
746,540
747,784
748,276
749,663
750,965
751,798
752,1150
753,860
754,319
755,86
756,440
757,483
758,1319
759,180
760,858
761,470
762,539
763,21
764,1829
765,212
766,1392
767,1771
768,883
769,1444
770,1196
771,445
772,403
773,1708
774,742
775,628
776,1464
777,127
778,645
779,353
780,1612
781,299
782,410
783,704
784,164
785,362
786,1721
787,537
788,261
789,530
790,1818
791,165
792,1800
793,309
794,498
795,362
796,163
797,1053
798,1833
799,407
800,1015
801,1927
802,219
803,1306
804,763
805,1284
806,1853
807,264
808,610
809,787
810,920
811,139
812,534
813,541
814,443
815,76
816,1206
817,667
818,302
819,24
820,1012
821,1996
822,1960
823,1464
824,992
825,506
826,1144
827,615
828,457
829,188
830,694
831,1628
832,321
833,588
834,881
835,299
836,1089
837,441
838,1590
839,1718
840,846
841,1242
842,1042
843,1310
844,118
